ドゥ,よし開いた！/きっとここに鍵があるはず……！,
,,Black
ドゥ,…………？,usually_blood
ドゥ,(状況が理解できない……いや、理解しているけれど/それを認めたくない。),usually_blood
ドゥ,(だってこれは、これはだれがどう見たって……。),usually_blood
ドゥ,し、たい……だろ。,usually_blood
ドゥ,(一瞬で血の気が引いていくのがわかる。/血と、肉が焦げたような臭いが鼻をかすめていく。),suffer_blood
ドゥ,(どうして死体がロッカーにあるんだ？/結局ドアの鍵はなかったし……まさか、僕も殺されるのか？),suffer_blood
ドゥ,(臭いによる気持ち悪さと、現実を受け止めたくない気持ちで/頭が混乱してきた。),suffer_blood
ドゥ,(おぼつかない足取りで死体から離れると、/片足に何かが当たる感覚がした。),understanding_blood
ドゥ,(それと同時に、ピッ……という電子音が足元から聞こえた。),understanding_blood
ドゥ,はっ……？！/マズい……マズいマズい！！,understanding_blood
ドゥ,(足元を見ると、そこにはすでに動き出していた/爆弾らしき物があった。),understanding_blood
ドゥ,(もしこれが本物、いや本物でなくても、/このままじゃ僕はここの家主に殺される！),think_blood
ドゥ,落ち着け冷静になれ、焦っても無駄だ……。/時間切れになる前に、ここから脱出しないと！,think_blood
ドゥ,僕がここにいる理由も、家主の目的もその後でいい！！,think_blood
,,End
