,「被検体：No.0001の記録」,Off
,「初期動作正常。/しかし爆弾発見後、極度の緊張状態と恐怖心により/狂乱状態となる。,Off
,最後は部屋を荒らし嘆き、時間切れで死亡。/これを今後の結果の判断基準とする。」,Off
,「被検体：No.0002の記録」,Off
,「被検体：No.0001の細胞を一部再利用。初期動作正常。/被検体：No.0002はナイフ入手後、爆弾解体を開始。/間違った線を切り自爆、間もなく死亡を確認した。」,Off
,「被検体：No.0003の記録」/「被検体：No.0004の記録」/「被検体：No.0005の記録」,Off
,………、/………………、/………………………、,Off
,「被検体：No.0696の記録」,Off
,「被検体：No.0001から695までの細胞を一部再利用。/初期動作異常を確認。/ロッカーを開ける際に頭痛を訴えた。だが直ぐに回復。,Off
,ナイフ入手後、爆弾解体を開始。/約30分後に起爆、モニターが破損。/カメラに背を向けていたため詳細不明。,Off
,回収とリセットのため研究員を3名派遣。/入室直後、被検体：No.0696からの奇襲を受ける。/支離滅裂な言葉を吐きながら、火傷に耐え切れず死亡。,Off
,以下発言の要約/・これまでの被検体の記憶を保持している/・実験に対する称賛,Off
,・研究者に対する罵詈雑言と明確な殺意/・実験の進捗状況の確認/記憶の混濁を確認。爆発による影響と考えられる。,Off
,考察：何らかの衝撃で、再利用した被検体の細胞から記憶が/戻ったとみられる。原因不明。/今後の影響を考え、細胞の再利用を禁止とする。」,Off
,「被検体：No.0697の記録」/「被検体：No.0698の記録」/「被検体：No.0699の記録」,Off
,………、/………………、/………………………だれかのメモがある。,Off
,「この実験が、人類の新しい可能性を導く夜明けとなるだろう。/＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿ナンバードゥの黎明」,Off
 ,ドゥ？/(ヨコにあるモニターをみて、ボクハ、くびをみた),StopBGM
,,PlayVideo
,,End
