command,param1,param2
,,
Start,,
Name,ドゥ,
Message,ん……ぐぅ、あー……？/こ、こは……？,苦しんでいるポーズ
Message,(目が覚めると、僕は知らない部屋にいた。/起きたばかりで、頭がうまく働かない……。),苦しんでいるポーズ
Message,(先ずここはどこで、僕はどうして寝ていた？),苦しんでいるポーズ
Message,僕は、僕は確か……あ。,理解したポーズ
Message,(ふと振り返ると、窓のようなものにうっそうとした森が広がっていた。),理解したポーズ
Message,森、そうだ森……！/僕は登山に来て、森に入って遭難したんだ。,理解したポーズ
Message,ということは、ここは山小屋か何かか？/誰かが僕を助けてくれた可能性はある。,考え込むポーズ
Message,(見たところキレイにされてるし、僕の他に人がいるのは確か……。/とにかく、ここの家主と話さないと何もわからないか。),考え込むポーズ
Message,なぜか着替えさせられてるけど、そんなに酷い状態だったのか？/早く何があったのか聞かないと……あれ？,考え込むポーズ
Message,(ドアが開かない。/どうやら鍵がかかっているらしい。),待機のポーズ
Message,(ドアには鍵穴とドアノブしかない。/こちら側からは、鍵がないと開けられないみたいだ。),待機のポーズ
Message,え……ということは、閉じ込められた？,理解したポーズ
Message,いや、いやいやいやそんな……！/きっとどこかに鍵を置いてくれてるだろ！,理解したポーズ
Message,(焦りでだんだんと目が覚めてきた。/とにかく鍵を見つけないと。),考え込むポーズ
Message,(見つけるまでに家主が来たら、どうして鍵を閉めたのか/問い詰めよう……。),考え込むポーズ
,,
Message,…………？,
Message,(状況が理解できない……いや、理解しているけれど/それを認めたくない。),待機のポーズ02
Message,(だってこれは、これはだれがどう見たって……。),待機のポーズ02
Message,し、たい……だろ。,待機のポーズ02
Message,(一瞬で血の気が引いていくのがわかる。/血と、肉が焦げたような臭いが鼻をかすめていく。),苦しんでいるポーズ02
Message,(どうして死体がロッカーにあるんだ？/結局ドアの鍵はなかったし……まさか、僕も殺されるのか？),苦しんでいるポーズ02
Message,(臭いによる気持ち悪さと、現実を受け止めたくない気持ちで/頭が混乱してきた。),苦しんでいるポーズ02
Message,(おぼつかない足取りで死体から離れると、/片足に何かが当たる感覚がした。),理解したポーズ02
Message,(それと同時に、ピッ……という電子音が足元から聞こえた。),理解したポーズ02
Message,はっ……？！/マズい……マズいマズい！！,理解したポーズ02
Message,(足元を見ると、そこにはすでに動き出していた/爆弾らしき物があった。),理解したポーズ02
Message,(もしこれが本物、いや本物でなくても、/このままじゃ僕はここの家主に殺される！),考え込むポーズ02
Message,落ち着け冷静になれ、焦っても無駄だ……。/時間切れになる前に、ここから脱出しないと！,考え込むポーズ02
Message,僕がここにいる理由も、家主の目的もその後でいい！！,考え込むポーズ02
End,,
