ドゥ,よかった！さっきとは違って、変な仕掛けとかもない！,喜んでいるポーズ
ドゥ,(扉から出ると、白い廊下だった。/まるで映画に出てくる研究所みたいだ。),喜んでいるポーズ
ドゥ,誰もいないし……なんだ、この扉の数。/番号も意味がわからないし……。,待機のポーズ02
ドゥ,いやとにかく、犯人を捜してこの状況を問い詰めないと＿＿＿＿。,待機のポーズ02
銃のSE再生、演出,,
ドゥ,……………あ？,撃たれたポーズ01
ドゥ,(大きな音で驚き、体が固まってしまう。/だが早く動けと警告するように、胸がジクジクと痛み始めた。),撃たれたポーズ01
ドゥ,(痛むところにそっと触れて手を見ると、/そこには真っ赤な血がべっとりと付いていた。/血がどんどん流れて、服に染みていく。),撃たれたポーズ01
,(頭がだんだんぼんやりして、痛みも酷くなって………/ぼくは倒れた。),ポーズなし
,『被検体の生命反応の消滅を確認、狙撃成功。』,ポーズなし
,(暗い…寒い……こえがきこえる……。/だれ……だ…？),ポーズなし
,『ここまでのデータを確認………異常なし。』,ポーズなし
,(………＿＿＿＿＿＿＿＿),ポーズなし
,『リセットを開始します、しばらくお待ちください………。』,ポーズなし
